"State","Fcilty_nam","Shp_num_an","Shp_centre","Street_add","Locality","Postcode","Phone","Wheelchair","Display_wd","Fcilty_typ_2","Latitude","Longitude","uuid","result","Audio"
"PR","Baby's Planet","Shop 1","Ponce","Urb Industrial san rafael 1762 ponce by pass","Ponce PR","00716-1901","787.842.8514","YES","1.5","www.babysplanet.com","18.001115","-66.597705","1","10",""
"PR","Baby's Planet","Shop 2","San Juan","1029 F.D. Roosevelt Avenue, San Juan","PR ","00920-2903","787.707.0160","YES","1.5","www.babysplanet.com","18.415459","-66.081239","2","10",""
"NY","GIGGLE","Shop 1","Upper east side","1033 Lexington Avenue (at 74th Street)","New York, NY","10021","212.249.4249","YES","1.5","www.giggle.com","40.771987","-73.960976","3","10",""
"NY","GIGGLE","Shop 2","Upper west side","352 Amsterdam Avenue(between 76th & 77th Street)","New York, NY","10024","212.362.8680","YES","1.5","www.giggle.com","40.781967","-73.979621","4","10",""
"NY","GIGGLE","Shop 3","SOHO","451 West Broadway","New York, NY","10012","212.334.5817","YES","1.5","www.giggle.com","40.726324","-74.000227","5","10",""
"SF","GIGGLE","Shop 4","Marina district","2110 Chestnut Street  (between Steiner & Pierce)","San Francisco, CA","94123","415.440.9034","YES","1.5","www.giggle.com","37.800862","-122.438222","6","10",""
"CA","GIGGLE","Shop 5","Mid-City district","2212 Wilshire Boulevard","Santa Monica, CA","90403","424.268.4539","YES","1.5","www.giggle.com","34.033093","-118.480961","7","10",""
"TX","GIGGLE","Shop 6","Southhampton","2438 Rice Boulevard","Houston, TX","77005","713.807.7300","YES","1.5","www.giggle.com","29.717583","-95.416544","8","10",""
"CA","PETIT TRESOR","Shop 1","West Hollywood","501 N. Robertson Blvd","West Hollywood, CA","90048","877.482.7856","YES","1.5","www.petittresor.com","34.080249","-118.385322","9","10",""
"TX","BABY BLISS","Shop 1","Snider Plaza","6721 Snider Plaza","Dallas, TX","75205","469.232.9420 ","YES","1.5","www.shopbabybliss.com","32.90743","-96.789998","10","10",""
"CA","ZUKA BABY","Shop 1","Metairie","3248 Severn Ave","Metairie, LA","70003","504.407.2700","YES","1.5","www.zukababy.com","30.009031","-90.15969","11","10",""
"HI","HOPSCOTCH","Shop 1","Kaka'ako","1200 Ala Moana Blvd #425","Honolulu, HI","96814","808.593.1825","YES","1.5","www.hopscotchhonolulu.com","21.292798","-157.852841","12","10",""
"OR","ECOBABY GEAR","Shop 1","Historic Montavilla","7980 SE START STREET","Portland, OR","97215","503.233.4167","YES","1.5","www.ecobabygear.com","45.51905","-122.581584","13","10",""
"OR","MILAGROS BOUTIQUE","Shop 1","Concordia","5433 NE 30th Avenue","Portland, OR","97211","503.493.4141","YES","1.5","www.milagrosboutique.com","45.562542","-122.635008","14","10",""
"MN","BABY'S ON BROADWAY","Shop 1","Little Falls","47 East Broadway","Little Falls, MN","56345","320.639.2229","YES","1.5","www.babysonbroadway.com","45.976766","-94.364752","15","10",""
"TN","HESTER DRUG CO","Shop 1","Rutherford","114 E MAIN STREET","Rutherford, TN","38369","731.665.6176","YES","1.5","www.facebook.com/pages/Hester-Drug-Co/161283790568512","36.127634","-88.985671","16","10",""
"Spain","MORAIG THE STORE","Shop 1","Valencia","C/Manuel Broseta 33, entreplantas 5A y 5B 46780 Oliva","Valencia, España","","963.149.607","YES","1.5","www.moraigthestore.com","38.917471","-0.112413","17","10",""
"Canada","BABY BRYAN","Shop 1","Ontario","3985 Hwy 7 #103","Markham, ON","L3R 2A2","647.560.6382","YES","1.5","www.babybryan.ca","43.857803","-79.323856","18","10",""
